Country,Happiness Rank,Happiness Score,Standard error of happiness score,Lower Confidence Interval,Upper Confidence Interval,Economy (Log GDP per capita),Family,Freedom,Generosity,Trust (Government Corruption)
Finland,1.0,7.804,0.036,7.875,7.733,1.888,1.585,0.772,0.126,0.535
Denmark,2.0,7.586,0.041,7.667,7.506,1.949,1.548,0.734,0.208,0.525
Iceland,3.0,7.53,0.049,7.625,7.434,1.926,1.62,0.738,0.25,0.187
Israel,4.0,7.473,0.032,7.535,7.411,1.833,1.521,0.569,0.124,0.158
Netherlands,5.0,7.403,0.029,7.46,7.346,1.942,1.488,0.672,0.251,0.394
Sweden,6.0,7.395,0.037,7.468,7.322,1.921,1.51,0.754,0.225,0.52
Norway,7.0,7.315,0.044,7.402,7.229,1.994,1.521,0.752,0.212,0.463
Switzerland,8.0,7.24,0.043,7.324,7.156,2.022,1.463,0.678,0.151,0.475
Luxembourg,9.0,7.228,0.069,7.363,7.093,2.2,1.357,0.71,0.149,0.418
New Zealand,10.0,7.123,0.038,7.198,7.048,1.842,1.544,0.672,0.23,0.471
Austria,11.0,7.097,0.04,7.176,7.018,1.927,1.382,0.63,0.191,0.31
Australia,12.0,7.095,0.044,7.18,7.009,1.899,1.497,0.677,0.242,0.31
Canada,13.0,6.961,0.042,7.042,6.879,1.881,1.484,0.656,0.218,0.364
Ireland,14.0,6.911,0.044,6.996,6.825,2.152,1.425,0.656,0.186,0.409
United States,15.0,6.894,0.047,6.986,6.802,1.98,1.46,0.557,0.21,0.172
Germany,16.0,6.892,0.049,6.989,6.795,1.919,1.401,0.618,0.153,0.365
Belgium,17.0,6.859,0.034,6.926,6.793,1.907,1.449,0.59,0.137,0.273
Czechia,18.0,6.845,0.044,6.931,6.759,1.823,1.544,0.693,0.158,0.05
United Kingdom,19.0,6.796,0.042,6.877,6.714,1.857,1.366,0.626,0.272,0.34
Lithuania,20.0,6.763,0.044,6.849,6.677,1.808,1.511,0.487,0.059,0.089
France,21.0,6.661,0.038,6.735,6.588,1.856,1.433,0.582,0.083,0.27
Slovenia,22.0,6.65,0.051,6.75,6.55,1.815,1.539,0.707,0.144,0.113
Costa Rica,23.0,6.609,0.052,6.71,6.507,1.587,1.34,0.683,0.099,0.116
Romania,24.0,6.589,0.052,6.69,6.488,1.726,1.28,0.631,0.044,0.0
Singapore,25.0,6.587,0.068,6.72,6.454,2.168,1.354,0.66,0.17,0.561
United Arab Emirates,26.0,6.571,0.043,6.656,6.486,2.015,1.223,0.745,0.188,0.247
Taiwan Province of China,27.0,6.535,0.047,6.627,6.444,1.89,1.372,0.562,0.067,0.178
Uruguay,28.0,6.494,0.046,6.583,6.404,1.617,1.445,0.683,0.102,0.254
Slovakia,29.0,6.469,0.056,6.578,6.36,1.731,1.544,0.494,0.128,0.022
Saudi Arabia,30.0,6.463,0.061,6.581,6.344,1.861,1.37,0.682,0.093,0.17
Estonia,31.0,6.455,0.04,6.534,6.377,1.798,1.526,0.728,0.153,0.372
Spain,32.0,6.436,0.042,6.519,6.354,1.798,1.491,0.533,0.101,0.157
Italy,33.0,6.405,0.054,6.511,6.298,1.832,1.365,0.438,0.097,0.063
Kosovo,34.0,6.368,0.06,6.485,6.25,1.374,1.269,0.639,0.275,0.045
Chile,35.0,6.334,0.046,6.424,6.243,1.645,1.384,0.546,0.131,0.076
Mexico,36.0,6.33,0.057,6.441,6.218,1.55,1.169,0.632,0.086,0.115
Malta,37.0,6.3,0.045,6.388,6.212,1.841,1.468,0.671,0.2,0.143
Panama,38.0,6.265,0.081,6.424,6.105,1.714,1.402,0.63,0.065,0.036
Poland,39.0,6.26,0.042,6.343,6.177,1.767,1.474,0.511,0.12,0.139
Nicaragua,40.0,6.259,0.076,6.408,6.109,1.109,1.292,0.66,0.148,0.218
Latvia,41.0,6.213,0.042,6.295,6.131,1.737,1.505,0.58,0.107,0.071
Bahrain,42.0,6.173,0.1,6.369,5.977,1.883,1.269,0.748,0.199,0.138
Guatemala,43.0,6.15,0.108,6.362,5.939,1.287,1.188,0.631,0.106,0.066
Kazakhstan,44.0,6.144,0.048,6.239,6.049,1.664,1.491,0.628,0.136,0.149
Serbia,45.0,6.144,0.079,6.299,5.988,1.552,1.343,0.617,0.246,0.081
Cyprus,46.0,6.13,0.054,6.236,6.024,1.824,1.224,0.455,0.104,0.05
Japan,47.0,6.129,0.042,6.211,6.047,1.825,1.396,0.556,0.009,0.207
Croatia,48.0,6.125,0.057,6.237,6.013,1.727,1.455,0.5,0.087,0.003
Brazil,49.0,6.125,0.065,6.252,5.997,1.454,1.25,0.558,0.131,0.137
El Salvador,50.0,6.122,0.069,6.257,5.986,1.278,1.044,0.713,0.079,0.222
Hungary,51.0,6.041,0.055,6.149,5.933,1.754,1.519,0.501,0.105,0.065
Argentina,52.0,6.024,0.063,6.147,5.9,1.59,1.388,0.587,0.088,0.082
Honduras,53.0,6.023,0.089,6.196,5.849,1.115,1.072,0.613,0.189,0.062
Uzbekistan,54.0,6.014,0.059,6.13,5.899,1.227,1.347,0.74,0.26,0.208
Malaysia,55.0,6.012,0.079,6.167,5.858,1.665,1.155,0.659,0.222,0.122
Portugal,56.0,5.968,0.055,6.076,5.86,1.758,1.356,0.693,0.031,0.037
South Korea,57.0,5.951,0.045,6.04,5.862,1.853,1.188,0.446,0.112,0.163
Greece,58.0,5.931,0.048,6.024,5.838,1.708,1.247,0.248,0.008,0.097
Mauritius,59.0,5.902,0.057,6.013,5.791,1.589,1.382,0.574,0.121,0.11
Thailand,60.0,5.843,0.064,5.969,5.717,1.515,1.344,0.624,0.291,0.013
Mongolia,61.0,5.84,0.046,5.93,5.75,1.379,1.494,0.425,0.239,0.058
Kyrgyzstan,62.0,5.825,0.045,5.913,5.737,1.061,1.439,0.735,0.234,0.018
Moldova,63.0,5.819,0.052,5.922,5.717,1.425,1.302,0.61,0.093,0.02
China,64.0,5.818,0.044,5.905,5.731,1.51,1.249,0.666,0.115,0.145
Vietnam,65.0,5.763,0.052,5.865,5.662,1.349,1.212,0.741,0.134,0.122
Paraguay,66.0,5.738,0.058,5.851,5.625,1.428,1.427,0.678,0.148,0.062
Montenegro,67.0,5.722,0.112,5.941,5.503,1.537,1.385,0.563,0.17,0.061
Jamaica,68.0,5.703,0.089,5.876,5.529,1.305,1.329,0.587,0.079,0.039
Bolivia,69.0,5.684,0.057,5.797,5.572,1.24,1.187,0.648,0.103,0.06
Russia,70.0,5.661,0.037,5.734,5.588,1.68,1.383,0.449,0.12,0.091
Bosnia and Herzegovina,71.0,5.633,0.073,5.775,5.49,1.467,1.361,0.485,0.247,0.008
Colombia,72.0,5.63,0.06,5.747,5.514,1.455,1.213,0.562,0.08,0.068
Dominican Republic,73.0,5.569,0.073,5.712,5.426,1.536,1.227,0.623,0.083,0.195
Ecuador,74.0,5.559,0.063,5.682,5.436,1.343,1.173,0.56,0.079,0.069
Peru,75.0,5.526,0.058,5.64,5.412,1.39,1.153,0.549,0.073,0.027
Philippines,76.0,5.523,0.077,5.675,5.371,1.238,1.108,0.714,0.104,0.141
Bulgaria,77.0,5.466,0.059,5.582,5.35,1.635,1.457,0.557,0.106,0.013
Nepal,78.0,5.36,0.075,5.507,5.214,0.979,1.027,0.567,0.215,0.104
Armenia,79.0,5.342,0.066,5.47,5.213,1.466,1.134,0.551,0.053,0.16
Tajikistan,80.0,5.33,0.062,5.452,5.207,0.972,1.248,0.599,0.104,0.292
Algeria,81.0,5.329,0.062,5.451,5.207,1.353,1.298,0.252,0.073,0.152
Hong Kong S.A.R. of China,82.0,5.308,0.048,5.403,5.214,1.951,1.201,0.407,0.123,0.39
Albania,83.0,5.277,0.066,5.406,5.148,1.449,0.951,0.549,0.133,0.037
Indonesia,84.0,5.277,0.059,5.392,5.161,1.384,1.169,0.663,0.422,0.038
South Africa,85.0,5.275,0.073,5.417,5.132,1.417,1.428,0.464,0.09,0.019
Congo (Brazzaville),86.0,5.267,0.088,5.44,5.094,0.921,0.665,0.464,0.134,0.136
North Macedonia,87.0,5.254,0.055,5.361,5.146,1.498,1.171,0.515,0.207,0.02
Venezuela,88.0,5.211,0.064,5.336,5.085,0.0,1.257,0.369,0.205,0.084
Laos,89.0,5.111,0.081,5.269,4.952,1.232,0.853,0.715,0.185,0.162
Georgia,90.0,5.109,0.056,5.219,5.0,1.477,0.947,0.539,0.0,0.201
Guinea,91.0,5.072,0.072,5.213,4.931,0.844,0.776,0.369,0.204,0.102
Ukraine,92.0,5.071,0.059,5.187,4.956,1.358,1.354,0.551,0.265,0.016
Ivory Coast,93.0,5.053,0.074,5.198,4.907,1.094,0.584,0.467,0.138,0.131
Gabon,94.0,5.035,0.072,5.175,4.894,1.438,1.021,0.346,0.036,0.102
Nigeria,95.0,4.981,0.08,5.136,4.825,1.065,1.007,0.448,0.176,0.013
Cameroon,96.0,4.973,0.071,5.112,4.834,0.965,0.871,0.405,0.144,0.059
Mozambique,97.0,4.954,0.116,5.181,4.727,0.57,0.885,0.625,0.161,0.192
Iraq,98.0,4.941,0.081,5.099,4.783,1.281,0.953,0.351,0.134,0.038
State of Palestine,99.0,4.908,0.092,5.089,4.727,1.144,1.309,0.416,0.065,0.067
Morocco,100.0,4.903,0.061,5.023,4.783,1.236,0.535,0.54,0.013,0.085
Iran,101.0,4.876,0.053,4.98,4.772,1.465,1.102,0.281,0.229,0.13
Senegal,102.0,4.855,0.065,4.983,4.727,0.943,0.727,0.519,0.142,0.06
Mauritania,103.0,4.724,0.147,5.011,4.437,1.099,0.764,0.32,0.13,0.195
Burkina Faso,104.0,4.638,0.093,4.819,4.456,0.768,0.814,0.419,0.188,0.113
Namibia,105.0,4.631,0.069,4.766,4.496,1.289,1.126,0.383,0.069,0.071
Turkiye,106.0,4.614,0.083,4.777,4.45,1.714,1.148,0.125,0.095,0.096
Ghana,107.0,4.605,0.063,4.729,4.481,1.101,0.756,0.526,0.211,0.035
Pakistan,108.0,4.555,0.077,4.707,4.404,1.081,0.657,0.511,0.141,0.102
Niger,109.0,4.501,0.108,4.712,4.291,0.561,0.628,0.54,0.154,0.14
Tunisia,110.0,4.497,0.053,4.601,4.393,1.333,0.981,0.259,0.022,0.016
Kenya,111.0,4.487,0.066,4.616,4.357,1.051,0.881,0.418,0.291,0.055
Sri Lanka,112.0,4.442,0.083,4.603,4.28,1.422,1.224,0.539,0.12,0.086
Uganda,113.0,4.432,0.089,4.607,4.258,0.785,1.144,0.425,0.197,0.051
Chad,114.0,4.397,0.121,4.633,4.16,0.622,0.962,0.393,0.255,0.088
Cambodia,115.0,4.393,0.059,4.508,4.279,1.025,1.024,0.768,0.176,0.051
Benin,116.0,4.374,0.066,4.504,4.244,0.924,0.242,0.481,0.114,0.253
Myanmar,117.0,4.372,0.082,4.533,4.212,1.032,1.125,0.46,0.4,0.194
Bangladesh,118.0,4.282,0.068,4.416,4.148,1.133,0.513,0.617,0.139,0.165
Gambia,119.0,4.279,0.105,4.484,4.075,0.761,0.614,0.286,0.332,0.033
Mali,120.0,4.198,0.062,4.319,4.076,0.763,0.637,0.441,0.121,0.059
Egypt,121.0,4.17,0.059,4.287,4.054,1.377,0.972,0.467,0.038,0.25
Togo,122.0,4.137,0.077,4.289,3.986,0.77,0.642,0.367,0.149,0.136
Jordan,123.0,4.12,0.062,4.242,3.997,1.292,0.98,0.517,0.056,0.173
Ethiopia,124.0,4.091,0.093,4.273,3.908,0.793,1.114,0.451,0.283,0.101
Liberia,125.0,4.042,0.144,4.325,3.76,0.628,0.644,0.471,0.219,0.071
India,126.0,4.036,0.029,4.092,3.98,1.159,0.674,0.685,0.175,0.111
Madagascar,127.0,4.019,0.092,4.199,3.839,0.632,0.779,0.187,0.177,0.134
Zambia,128.0,3.982,0.094,4.167,3.797,0.914,0.89,0.545,0.189,0.08
Tanzania,129.0,3.694,0.075,3.84,3.547,0.836,0.787,0.607,0.234,0.269
Comoros,130.0,3.545,0.117,3.774,3.317,0.914,0.327,0.117,0.129,0.145
Malawi,131.0,3.495,0.09,3.671,3.32,0.637,0.479,0.49,0.139,0.129
Botswana,132.0,3.435,0.136,3.702,3.168,1.471,1.041,0.48,0.021,0.071
Congo (Kinshasa),133.0,3.207,0.095,3.394,3.02,0.531,0.784,0.375,0.183,0.068
Zimbabwe,134.0,3.204,0.061,3.323,3.084,0.758,0.881,0.363,0.112,0.117
Sierra Leone,135.0,3.138,0.082,3.299,2.976,0.67,0.54,0.371,0.193,0.051
Lebanon,136.0,2.392,0.044,2.479,2.305,1.417,0.476,0.123,0.061,0.027
Afghanistan,137.0,1.859,0.033,1.923,1.795,0.645,0.0,0.0,0.093,0.059
